Act.NeSiteId,Actual Ne SiteName,SourceNode,Latitude,Longitude
PAL160,DMT DEWISARTIKA PALU,GPON04-D7-PLB-4,-0.92641,119.89811
PAL161,MCRTombolotutu_MW,GPON00-D7-PLA-5,-0.88122,119.87583
PAL163,MCOtista_MW,GPON02-D7-PLA-3,-0.891915,119.878708
PAL164,DMT Talise Rusa,GPON03-D7-PLA-4,-0.878204,119.873313
PAL165,DMTPaluTimur_MW,GPON02-D7-PLA-3,-0.895047,119.876152
PAL166,DMT_Karana_Mamboro,GPON01-D7-TWL-4,-0.78697,119.88021
PAL168,PALU_1414,GPON03-D7-PLA-4,-0.89849,119.84875
PAL169,Protelindo_Tuloborder,L2SW-D7-PAL066,-1.16777,119.93213
PAL170,PROT_DUSUN_2_SUNJU,GPON04-D7-PLB-4,-0.955511111,119.8823
PAL171,ProtelindoTranskulawi_MW,GPON01-D7-PLB-3,-0.97669,119.87853
PAL172,PROTELINDO_GUMBASA PALU,GPON02-D7-PLB-3,-0.905598,119.860695
PAL174,SIRANINDI PALU BARAT,GPON01-D7-PLB-3,-0.91953,119.84879
PAL175,PROTELINDO BESUSU MANGGIS,GPON03-D7-PLA-4,-0.901187,119.85573
PAL176,Protelindo_Citraland_Palu,GPON05-D7-PLA-4,-0.8316,119.88308
PAL177,TBGBirobuliUtara_MW,GPON01-D7-PLB-3,-0.954341,119.922918
PAL178,TBGLoluUtara_MW,GPON05-D7-PLB-4,-0.927668,119.88949
PAL179,TBGMeiliDonggala_MW,GPON01-D7-PLA-3,-0.9088,119.87855
PAL180,SPBU_KAYUMALUE,GPON01-D7-TWL-4,-0.743414,119.863
PAL181,TBGJuandaKesehatan_MW,GPON01-D7-PLA-3,-0.900526,119.877466
PAL182,TBGBesusuBarat_MW,GPON03-D7-PLA-4,-0.888735,119.852673
PAL183,TBGBesusuTengah_MW,GPON04-D7-PLA-4,-0.899181,119.864578
PAL184,TBG SUHARSA,GPON02-D7-PLA-3,-0.89334,119.86329
PAL185,PALU TIMUR 8/DMT BESUSU YAMIN,GPON02-D7-PLA-3,-0.910547,119.887915
PAL186,DMT Terusan Dolo Palu,GPON01-D7-PLB-3,-1.019481,119.881683
